subtopic_slug,subtopic,parent_topic,year,query_slug,query_text,query_type,paper_count_unique_with_abstract,paper_count_unique_raw,raw_records,missing_abstract_unique,pages,malformed_lines,raw_path
aiot-computing,AIoT computing,Artificial Intelligence of Things,2021,aiot-intelligence-computing,AIoT intelligence computing,paraphrase,31,34,34,3,1,0,/Users/xiaozhou/Desktop/weak-signal-benchmark/construction_v2/papers/subtopics/aiot-computing/raw/semantic_scholar_aiot-computing_2021_aiot-intelligence-computing.jsonl
aiot-computing,AIoT computing,Artificial Intelligence of Things,2021,artificial-intelligence-of-things-computing,artificial intelligence of things computing,paraphrase,572,685,685,113,1,0,/Users/xiaozhou/Desktop/weak-signal-benchmark/construction_v2/papers/subtopics/aiot-computing/raw/semantic_scholar_aiot-computing_2021_artificial-intelligence-of-things-computing.jsonl
aiot-computing,AIoT computing,Artificial Intelligence of Things,2021,computing-in-aiot,computing in AIoT,paraphrase,42,48,48,6,1,0,/Users/xiaozhou/Desktop/weak-signal-benchmark/construction_v2/papers/subtopics/aiot-computing/raw/semantic_scholar_aiot-computing_2021_computing-in-aiot.jsonl
aiot-computing,AIoT computing,Artificial Intelligence of Things,2022,aiot-computation,AIoT computation,paraphrase,21,24,24,3,1,0,/Users/xiaozhou/Desktop/weak-signal-benchmark/construction_v2/papers/subtopics/aiot-computing/raw/semantic_scholar_aiot-computing_2022_aiot-computation.jsonl
aiot-computing,AIoT computing,Artificial Intelligence of Things,2022,aiot-computing,AIoT computing,topic,57,64,64,7,1,0,/Users/xiaozhou/Desktop/weak-signal-benchmark/construction_v2/papers/subtopics/aiot-computing/raw/semantic_scholar_aiot-computing_2022_aiot-computing.jsonl
aiot-computing,AIoT computing,Artificial Intelligence of Things,2022,aiot-intelligence-computing,AIoT intelligence computing,paraphrase,41,43,43,2,1,0,/Users/xiaozhou/Desktop/weak-signal-benchmark/construction_v2/papers/subtopics/aiot-computing/raw/semantic_scholar_aiot-computing_2022_aiot-intelligence-computing.jsonl
aiot-computing,AIoT computing,Artificial Intelligence of Things,2022,artificial-intelligence-of-things-computing,artificial intelligence of things computing,paraphrase,639,715,715,76,1,0,/Users/xiaozhou/Desktop/weak-signal-benchmark/construction_v2/papers/subtopics/aiot-computing/raw/semantic_scholar_aiot-computing_2022_artificial-intelligence-of-things-computing.jsonl
aiot-computing,AIoT computing,Artificial Intelligence of Things,2022,computing-in-aiot,computing in AIoT,paraphrase,57,64,64,7,1,0,/Users/xiaozhou/Desktop/weak-signal-benchmark/construction_v2/papers/subtopics/aiot-computing/raw/semantic_scholar_aiot-computing_2022_computing-in-aiot.jsonl
aiot-computing,AIoT computing,Artificial Intelligence of Things,2023,aiot-computation,AIoT computation,paraphrase,25,27,27,2,1,0,/Users/xiaozhou/Desktop/weak-signal-benchmark/construction_v2/papers/subtopics/aiot-computing/raw/semantic_scholar_aiot-computing_2023_aiot-computation.jsonl
aiot-computing,AIoT computing,Artificial Intelligence of Things,2023,aiot-computing,AIoT computing,topic,64,69,69,5,1,0,/Users/xiaozhou/Desktop/weak-signal-benchmark/construction_v2/papers/subtopics/aiot-computing/raw/semantic_scholar_aiot-computing_2023_aiot-computing.jsonl
aiot-computing,AIoT computing,Artificial Intelligence of Things,2023,aiot-intelligence-computing,AIoT intelligence computing,paraphrase,44,49,49,5,1,0,/Users/xiaozhou/Desktop/weak-signal-benchmark/construction_v2/papers/subtopics/aiot-computing/raw/semantic_scholar_aiot-computing_2023_aiot-intelligence-computing.jsonl
aiot-computing,AIoT computing,Artificial Intelligence of Things,2023,artificial-intelligence-of-things-computing,artificial intelligence of things computing,paraphrase,646,693,693,47,1,0,/Users/xiaozhou/Desktop/weak-signal-benchmark/construction_v2/papers/subtopics/aiot-computing/raw/semantic_scholar_aiot-computing_2023_artificial-intelligence-of-things-computing.jsonl
aiot-computing,AIoT computing,Artificial Intelligence of Things,2023,computing-in-aiot,computing in AIoT,paraphrase,64,69,69,5,1,0,/Users/xiaozhou/Desktop/weak-signal-benchmark/construction_v2/papers/subtopics/aiot-computing/raw/semantic_scholar_aiot-computing_2023_computing-in-aiot.jsonl
aiot-computing,AIoT computing,Artificial Intelligence of Things,2024,aiot-computation,AIoT computation,paraphrase,51,51,51,0,1,0,/Users/xiaozhou/Desktop/weak-signal-benchmark/construction_v2/papers/subtopics/aiot-computing/raw/semantic_scholar_aiot-computing_2024_aiot-computation.jsonl
aiot-computing,AIoT computing,Artificial Intelligence of Things,2024,aiot-computing,AIoT computing,topic,89,93,93,4,1,0,/Users/xiaozhou/Desktop/weak-signal-benchmark/construction_v2/papers/subtopics/aiot-computing/raw/semantic_scholar_aiot-computing_2024_aiot-computing.jsonl
aiot-computing,AIoT computing,Artificial Intelligence of Things,2024,aiot-intelligence-computing,AIoT intelligence computing,paraphrase,72,74,74,2,1,0,/Users/xiaozhou/Desktop/weak-signal-benchmark/construction_v2/papers/subtopics/aiot-computing/raw/semantic_scholar_aiot-computing_2024_aiot-intelligence-computing.jsonl
aiot-computing,AIoT computing,Artificial Intelligence of Things,2024,artificial-intelligence-of-things-computing,artificial intelligence of things computing,paraphrase,883,925,925,42,1,0,/Users/xiaozhou/Desktop/weak-signal-benchmark/construction_v2/papers/subtopics/aiot-computing/raw/semantic_scholar_aiot-computing_2024_artificial-intelligence-of-things-computing.jsonl
aiot-computing,AIoT computing,Artificial Intelligence of Things,2024,computing-in-aiot,computing in AIoT,paraphrase,89,93,93,4,1,0,/Users/xiaozhou/Desktop/weak-signal-benchmark/construction_v2/papers/subtopics/aiot-computing/raw/semantic_scholar_aiot-computing_2024_computing-in-aiot.jsonl
aiot-networking-and-communication,AIoT networking and communication,Artificial Intelligence of Things,2019,aiot-communications,AIoT communications,paraphrase,0,0,0,0,1,0,/Users/xiaozhou/Desktop/weak-signal-benchmark/construction_v2/papers/subtopics/aiot-networking-and-communication/raw/semantic_scholar_aiot-networking-and-communication_2019_aiot-communications.jsonl
aiot-networking-and-communication,AIoT networking and communication,Artificial Intelligence of Things,2019,aiot-networking-and-communication,AIoT networking and communication,topic,2,3,3,1,1,0,/Users/xiaozhou/Desktop/weak-signal-benchmark/construction_v2/papers/subtopics/aiot-networking-and-communication/raw/semantic_scholar_aiot-networking-and-communication_2019_aiot-networking-and-communication.jsonl
aiot-networking-and-communication,AIoT networking and communication,Artificial Intelligence of Things,2019,aiot-networking,AIoT networking,paraphrase,8,12,12,4,1,0,/Users/xiaozhou/Desktop/weak-signal-benchmark/construction_v2/papers/subtopics/aiot-networking-and-communication/raw/semantic_scholar_aiot-networking-and-communication_2019_aiot-networking.jsonl
aiot-networking-and-communication,AIoT networking and communication,Artificial Intelligence of Things,2019,communication-and-networking-in-aiot,communication and networking in AIoT,paraphrase,2,3,3,1,1,0,/Users/xiaozhou/Desktop/weak-signal-benchmark/construction_v2/papers/subtopics/aiot-networking-and-communication/raw/semantic_scholar_aiot-networking-and-communication_2019_communication-and-networking-in-aiot.jsonl
aiot-networking-and-communication,AIoT networking and communication,Artificial Intelligence of Things,2020,aiot-communications,AIoT communications,paraphrase,2,3,3,1,1,0,/Users/xiaozhou/Desktop/weak-signal-benchmark/construction_v2/papers/subtopics/aiot-networking-and-communication/raw/semantic_scholar_aiot-networking-and-communication_2020_aiot-communications.jsonl
aiot-networking-and-communication,AIoT networking and communication,Artificial Intelligence of Things,2020,aiot-networking-and-communication,AIoT networking and communication,topic,3,4,4,1,1,0,/Users/xiaozhou/Desktop/weak-signal-benchmark/construction_v2/papers/subtopics/aiot-networking-and-communication/raw/semantic_scholar_aiot-networking-and-communication_2020_aiot-networking-and-communication.jsonl
aiot-networking-and-communication,AIoT networking and communication,Artificial Intelligence of Things,2020,aiot-networking,AIoT networking,paraphrase,24,29,29,5,1,0,/Users/xiaozhou/Desktop/weak-signal-benchmark/construction_v2/papers/subtopics/aiot-networking-and-communication/raw/semantic_scholar_aiot-networking-and-communication_2020_aiot-networking.jsonl
aiot-networking-and-communication,AIoT networking and communication,Artificial Intelligence of Things,2020,communication-and-networking-in-aiot,communication and networking in AIoT,paraphrase,3,4,4,1,1,0,/Users/xiaozhou/Desktop/weak-signal-benchmark/construction_v2/papers/subtopics/aiot-networking-and-communication/raw/semantic_scholar_aiot-networking-and-communication_2020_communication-and-networking-in-aiot.jsonl
aiot-networking-and-communication,AIoT networking and communication,Artificial Intelligence of Things,2021,aiot-communications,AIoT communications,paraphrase,2,2,2,0,1,0,/Users/xiaozhou/Desktop/weak-signal-benchmark/construction_v2/papers/subtopics/aiot-networking-and-communication/raw/semantic_scholar_aiot-networking-and-communication_2021_aiot-communications.jsonl
aiot-networking-and-communication,AIoT networking and communication,Artificial Intelligence of Things,2021,aiot-networking-and-communication,AIoT networking and communication,topic,14,14,14,0,1,0,/Users/xiaozhou/Desktop/weak-signal-benchmark/construction_v2/papers/subtopics/aiot-networking-and-communication/raw/semantic_scholar_aiot-networking-and-communication_2021_aiot-networking-and-communication.jsonl
aiot-networking-and-communication,AIoT networking and communication,Artificial Intelligence of Things,2021,aiot-networking,AIoT networking,paraphrase,74,84,84,10,1,0,/Users/xiaozhou/Desktop/weak-signal-benchmark/construction_v2/papers/subtopics/aiot-networking-and-communication/raw/semantic_scholar_aiot-networking-and-communication_2021_aiot-networking.jsonl
aiot-networking-and-communication,AIoT networking and communication,Artificial Intelligence of Things,2021,communication-and-networking-in-aiot,communication and networking in AIoT,paraphrase,14,14,14,0,1,0,/Users/xiaozhou/Desktop/weak-signal-benchmark/construction_v2/papers/subtopics/aiot-networking-and-communication/raw/semantic_scholar_aiot-networking-and-communication_2021_communication-and-networking-in-aiot.jsonl
aiot-networking-and-communication,AIoT networking and communication,Artificial Intelligence of Things,2022,aiot-communications,AIoT communications,paraphrase,6,6,6,0,1,0,/Users/xiaozhou/Desktop/weak-signal-benchmark/construction_v2/papers/subtopics/aiot-networking-and-communication/raw/semantic_scholar_aiot-networking-and-communication_2022_aiot-communications.jsonl
aiot-networking-and-communication,AIoT networking and communication,Artificial Intelligence of Things,2022,aiot-networking-and-communication,AIoT networking and communication,topic,17,19,19,2,1,0,/Users/xiaozhou/Desktop/weak-signal-benchmark/construction_v2/papers/subtopics/aiot-networking-and-communication/raw/semantic_scholar_aiot-networking-and-communication_2022_aiot-networking-and-communication.jsonl
aiot-networking-and-communication,AIoT networking and communication,Artificial Intelligence of Things,2022,aiot-networking,AIoT networking,paraphrase,82,91,91,9,1,0,/Users/xiaozhou/Desktop/weak-signal-benchmark/construction_v2/papers/subtopics/aiot-networking-and-communication/raw/semantic_scholar_aiot-networking-and-communication_2022_aiot-networking.jsonl
aiot-networking-and-communication,AIoT networking and communication,Artificial Intelligence of Things,2022,communication-and-networking-in-aiot,communication and networking in AIoT,paraphrase,17,19,19,2,1,0,/Users/xiaozhou/Desktop/weak-signal-benchmark/construction_v2/papers/subtopics/aiot-networking-and-communication/raw/semantic_scholar_aiot-networking-and-communication_2022_communication-and-networking-in-aiot.jsonl
aiot-networking-and-communication,AIoT networking and communication,Artificial Intelligence of Things,2023,aiot-communications,AIoT communications,paraphrase,3,3,3,0,1,0,/Users/xiaozhou/Desktop/weak-signal-benchmark/construction_v2/papers/subtopics/aiot-networking-and-communication/raw/semantic_scholar_aiot-networking-and-communication_2023_aiot-communications.jsonl
aiot-networking-and-communication,AIoT networking and communication,Artificial Intelligence of Things,2023,aiot-networking-and-communication,AIoT networking and communication,topic,16,18,18,2,1,0,/Users/xiaozhou/Desktop/weak-signal-benchmark/construction_v2/papers/subtopics/aiot-networking-and-communication/raw/semantic_scholar_aiot-networking-and-communication_2023_aiot-networking-and-communication.jsonl
aiot-networking-and-communication,AIoT networking and communication,Artificial Intelligence of Things,2023,aiot-networking,AIoT networking,paraphrase,78,86,86,8,1,0,/Users/xiaozhou/Desktop/weak-signal-benchmark/construction_v2/papers/subtopics/aiot-networking-and-communication/raw/semantic_scholar_aiot-networking-and-communication_2023_aiot-networking.jsonl
aiot-networking-and-communication,AIoT networking and communication,Artificial Intelligence of Things,2023,communication-and-networking-in-aiot,communication and networking in AIoT,paraphrase,16,18,18,2,1,0,/Users/xiaozhou/Desktop/weak-signal-benchmark/construction_v2/papers/subtopics/aiot-networking-and-communication/raw/semantic_scholar_aiot-networking-and-communication_2023_communication-and-networking-in-aiot.jsonl
aiot-networking-and-communication,AIoT networking and communication,Artificial Intelligence of Things,2024,aiot-communications,AIoT communications,paraphrase,8,9,9,1,1,0,/Users/xiaozhou/Desktop/weak-signal-benchmark/construction_v2/papers/subtopics/aiot-networking-and-communication/raw/semantic_scholar_aiot-networking-and-communication_2024_aiot-communications.jsonl
aiot-networking-and-communication,AIoT networking and communication,Artificial Intelligence of Things,2024,aiot-networking-and-communication,AIoT networking and communication,topic,29,30,30,1,1,0,/Users/xiaozhou/Desktop/weak-signal-benchmark/construction_v2/papers/subtopics/aiot-networking-and-communication/raw/semantic_scholar_aiot-networking-and-communication_2024_aiot-networking-and-communication.jsonl
aiot-networking-and-communication,AIoT networking and communication,Artificial Intelligence of Things,2024,aiot-networking,AIoT networking,paraphrase,133,140,140,7,1,0,/Users/xiaozhou/Desktop/weak-signal-benchmark/construction_v2/papers/subtopics/aiot-networking-and-communication/raw/semantic_scholar_aiot-networking-and-communication_2024_aiot-networking.jsonl
aiot-networking-and-communication,AIoT networking and communication,Artificial Intelligence of Things,2024,communication-and-networking-in-aiot,communication and networking in AIoT,paraphrase,29,30,30,1,1,0,/Users/xiaozhou/Desktop/weak-signal-benchmark/construction_v2/papers/subtopics/aiot-networking-and-communication/raw/semantic_scholar_aiot-networking-and-communication_2024_communication-and-networking-in-aiot.jsonl
aiot-sensing,AIoT sensing,Artificial Intelligence of Things,2019,aiot-enabled-sensing,AIoT-enabled sensing,paraphrase,0,0,0,0,1,0,/Users/xiaozhou/Desktop/weak-signal-benchmark/construction_v2/papers/subtopics/aiot-sensing/raw/semantic_scholar_aiot-sensing_2019_aiot-enabled-sensing.jsonl
aiot-sensing,AIoT sensing,Artificial Intelligence of Things,2019,aiot-sensing,AIoT sensing,topic,4,5,5,1,1,0,/Users/xiaozhou/Desktop/weak-signal-benchmark/construction_v2/papers/subtopics/aiot-sensing/raw/semantic_scholar_aiot-sensing_2019_aiot-sensing.jsonl
aiot-sensing,AIoT sensing,Artificial Intelligence of Things,2019,artificial-intelligence-of-things-sensing,artificial intelligence of things sensing,paraphrase,76,120,120,44,1,0,/Users/xiaozhou/Desktop/weak-signal-benchmark/construction_v2/papers/subtopics/aiot-sensing/raw/semantic_scholar_aiot-sensing_2019_artificial-intelligence-of-things-sensing.jsonl
aiot-sensing,AIoT sensing,Artificial Intelligence of Things,2019,intelligent-sensing-in-aiot,intelligent sensing in AIoT,paraphrase,1,2,2,1,1,0,/Users/xiaozhou/Desktop/weak-signal-benchmark/construction_v2/papers/subtopics/aiot-sensing/raw/semantic_scholar_aiot-sensing_2019_intelligent-sensing-in-aiot.jsonl
aiot-sensing,AIoT sensing,Artificial Intelligence of Things,2020,aiot-enabled-sensing,AIoT-enabled sensing,paraphrase,0,0,0,0,1,0,/Users/xiaozhou/Desktop/weak-signal-benchmark/construction_v2/papers/subtopics/aiot-sensing/raw/semantic_scholar_aiot-sensing_2020_aiot-enabled-sensing.jsonl
aiot-sensing,AIoT sensing,Artificial Intelligence of Things,2020,aiot-sensing,AIoT sensing,topic,1,1,1,0,1,0,/Users/xiaozhou/Desktop/weak-signal-benchmark/construction_v2/papers/subtopics/aiot-sensing/raw/semantic_scholar_aiot-sensing_2020_aiot-sensing.jsonl
aiot-sensing,AIoT sensing,Artificial Intelligence of Things,2020,artificial-intelligence-of-things-sensing,artificial intelligence of things sensing,paraphrase,123,166,166,43,1,0,/Users/xiaozhou/Desktop/weak-signal-benchmark/construction_v2/papers/subtopics/aiot-sensing/raw/semantic_scholar_aiot-sensing_2020_artificial-intelligence-of-things-sensing.jsonl
aiot-sensing,AIoT sensing,Artificial Intelligence of Things,2020,intelligent-sensing-in-aiot,intelligent sensing in AIoT,paraphrase,0,0,0,0,1,0,/Users/xiaozhou/Desktop/weak-signal-benchmark/construction_v2/papers/subtopics/aiot-sensing/raw/semantic_scholar_aiot-sensing_2020_intelligent-sensing-in-aiot.jsonl
aiot-sensing,AIoT sensing,Artificial Intelligence of Things,2021,aiot-enabled-sensing,AIoT-enabled sensing,paraphrase,3,3,3,0,1,0,/Users/xiaozhou/Desktop/weak-signal-benchmark/construction_v2/papers/subtopics/aiot-sensing/raw/semantic_scholar_aiot-sensing_2021_aiot-enabled-sensing.jsonl
aiot-sensing,AIoT sensing,Artificial Intelligence of Things,2021,aiot-sensing,AIoT sensing,topic,23,25,25,2,1,0,/Users/xiaozhou/Desktop/weak-signal-benchmark/construction_v2/papers/subtopics/aiot-sensing/raw/semantic_scholar_aiot-sensing_2021_aiot-sensing.jsonl
aiot-sensing,AIoT sensing,Artificial Intelligence of Things,2021,artificial-intelligence-of-things-sensing,artificial intelligence of things sensing,paraphrase,170,200,200,30,1,0,/Users/xiaozhou/Desktop/weak-signal-benchmark/construction_v2/papers/subtopics/aiot-sensing/raw/semantic_scholar_aiot-sensing_2021_artificial-intelligence-of-things-sensing.jsonl
aiot-sensing,AIoT sensing,Artificial Intelligence of Things,2021,intelligent-sensing-in-aiot,intelligent sensing in AIoT,paraphrase,8,8,8,0,1,0,/Users/xiaozhou/Desktop/weak-signal-benchmark/construction_v2/papers/subtopics/aiot-sensing/raw/semantic_scholar_aiot-sensing_2021_intelligent-sensing-in-aiot.jsonl
aiot-sensing,AIoT sensing,Artificial Intelligence of Things,2022,aiot-enabled-sensing,AIoT-enabled sensing,paraphrase,5,5,5,0,1,0,/Users/xiaozhou/Desktop/weak-signal-benchmark/construction_v2/papers/subtopics/aiot-sensing/raw/semantic_scholar_aiot-sensing_2022_aiot-enabled-sensing.jsonl
aiot-sensing,AIoT sensing,Artificial Intelligence of Things,2022,aiot-sensing,AIoT sensing,topic,19,20,20,1,1,0,/Users/xiaozhou/Desktop/weak-signal-benchmark/construction_v2/papers/subtopics/aiot-sensing/raw/semantic_scholar_aiot-sensing_2022_aiot-sensing.jsonl
aiot-sensing,AIoT sensing,Artificial Intelligence of Things,2022,artificial-intelligence-of-things-sensing,artificial intelligence of things sensing,paraphrase,165,189,189,24,1,0,/Users/xiaozhou/Desktop/weak-signal-benchmark/construction_v2/papers/subtopics/aiot-sensing/raw/semantic_scholar_aiot-sensing_2022_artificial-intelligence-of-things-sensing.jsonl
aiot-sensing,AIoT sensing,Artificial Intelligence of Things,2022,intelligent-sensing-in-aiot,intelligent sensing in AIoT,paraphrase,5,5,5,0,1,0,/Users/xiaozhou/Desktop/weak-signal-benchmark/construction_v2/papers/subtopics/aiot-sensing/raw/semantic_scholar_aiot-sensing_2022_intelligent-sensing-in-aiot.jsonl
aiot-sensing,AIoT sensing,Artificial Intelligence of Things,2023,aiot-enabled-sensing,AIoT-enabled sensing,paraphrase,7,7,7,0,1,0,/Users/xiaozhou/Desktop/weak-signal-benchmark/construction_v2/papers/subtopics/aiot-sensing/raw/semantic_scholar_aiot-sensing_2023_aiot-enabled-sensing.jsonl
aiot-sensing,AIoT sensing,Artificial Intelligence of Things,2023,aiot-sensing,AIoT sensing,topic,38,40,40,2,1,0,/Users/xiaozhou/Desktop/weak-signal-benchmark/construction_v2/papers/subtopics/aiot-sensing/raw/semantic_scholar_aiot-sensing_2023_aiot-sensing.jsonl
aiot-sensing,AIoT sensing,Artificial Intelligence of Things,2023,artificial-intelligence-of-things-sensing,artificial intelligence of things sensing,paraphrase,205,219,219,14,1,0,/Users/xiaozhou/Desktop/weak-signal-benchmark/construction_v2/papers/subtopics/aiot-sensing/raw/semantic_scholar_aiot-sensing_2023_artificial-intelligence-of-things-sensing.jsonl
aiot-sensing,AIoT sensing,Artificial Intelligence of Things,2023,intelligent-sensing-in-aiot,intelligent sensing in AIoT,paraphrase,13,13,13,0,1,0,/Users/xiaozhou/Desktop/weak-signal-benchmark/construction_v2/papers/subtopics/aiot-sensing/raw/semantic_scholar_aiot-sensing_2023_intelligent-sensing-in-aiot.jsonl
aiot-sensing,AIoT sensing,Artificial Intelligence of Things,2024,aiot-enabled-sensing,AIoT-enabled sensing,paraphrase,6,6,6,0,1,0,/Users/xiaozhou/Desktop/weak-signal-benchmark/construction_v2/papers/subtopics/aiot-sensing/raw/semantic_scholar_aiot-sensing_2024_aiot-enabled-sensing.jsonl
aiot-sensing,AIoT sensing,Artificial Intelligence of Things,2024,aiot-sensing,AIoT sensing,topic,32,33,33,1,1,0,/Users/xiaozhou/Desktop/weak-signal-benchmark/construction_v2/papers/subtopics/aiot-sensing/raw/semantic_scholar_aiot-sensing_2024_aiot-sensing.jsonl
aiot-sensing,AIoT sensing,Artificial Intelligence of Things,2024,artificial-intelligence-of-things-sensing,artificial intelligence of things sensing,paraphrase,238,254,254,16,1,0,/Users/xiaozhou/Desktop/weak-signal-benchmark/construction_v2/papers/subtopics/aiot-sensing/raw/semantic_scholar_aiot-sensing_2024_artificial-intelligence-of-things-sensing.jsonl
aiot-sensing,AIoT sensing,Artificial Intelligence of Things,2024,intelligent-sensing-in-aiot,intelligent sensing in AIoT,paraphrase,9,10,10,1,1,0,/Users/xiaozhou/Desktop/weak-signal-benchmark/construction_v2/papers/subtopics/aiot-sensing/raw/semantic_scholar_aiot-sensing_2024_intelligent-sensing-in-aiot.jsonl
efficient-llm-inference,efficient LLM inference,Large Language Models,2019,efficient-inference-for-large-language-models,efficient inference for large language models,paraphrase,28,43,43,15,1,0,/Users/xiaozhou/Desktop/weak-signal-benchmark/construction_v2/papers/subtopics/efficient-llm-inference/raw/semantic_scholar_efficient-llm-inference_2019_efficient-inference-for-large-language-models.jsonl
efficient-llm-inference,efficient LLM inference,Large Language Models,2019,efficient-large-language-model-inference,efficient large language model inference,paraphrase,28,43,43,15,1,0,/Users/xiaozhou/Desktop/weak-signal-benchmark/construction_v2/papers/subtopics/efficient-llm-inference/raw/semantic_scholar_efficient-llm-inference_2019_efficient-large-language-model-inference.jsonl
efficient-llm-inference,efficient LLM inference,Large Language Models,2019,efficient-llm-inference,efficient LLM inference,topic,0,0,0,0,1,0,/Users/xiaozhou/Desktop/weak-signal-benchmark/construction_v2/papers/subtopics/efficient-llm-inference/raw/semantic_scholar_efficient-llm-inference_2019_efficient-llm-inference.jsonl
efficient-llm-inference,efficient LLM inference,Large Language Models,2019,llm-inference-acceleration,LLM inference acceleration,paraphrase,0,0,0,0,1,0,/Users/xiaozhou/Desktop/weak-signal-benchmark/construction_v2/papers/subtopics/efficient-llm-inference/raw/semantic_scholar_efficient-llm-inference_2019_llm-inference-acceleration.jsonl
efficient-llm-inference,efficient LLM inference,Large Language Models,2020,efficient-inference-for-large-language-models,efficient inference for large language models,paraphrase,29,39,39,10,1,0,/Users/xiaozhou/Desktop/weak-signal-benchmark/construction_v2/papers/subtopics/efficient-llm-inference/raw/semantic_scholar_efficient-llm-inference_2020_efficient-inference-for-large-language-models.jsonl
efficient-llm-inference,efficient LLM inference,Large Language Models,2020,efficient-large-language-model-inference,efficient large language model inference,paraphrase,29,39,39,10,1,0,/Users/xiaozhou/Desktop/weak-signal-benchmark/construction_v2/papers/subtopics/efficient-llm-inference/raw/semantic_scholar_efficient-llm-inference_2020_efficient-large-language-model-inference.jsonl
efficient-llm-inference,efficient LLM inference,Large Language Models,2020,efficient-llm-inference,efficient LLM inference,topic,0,0,0,0,1,0,/Users/xiaozhou/Desktop/weak-signal-benchmark/construction_v2/papers/subtopics/efficient-llm-inference/raw/semantic_scholar_efficient-llm-inference_2020_efficient-llm-inference.jsonl
efficient-llm-inference,efficient LLM inference,Large Language Models,2020,llm-inference-acceleration,LLM inference acceleration,paraphrase,0,0,0,0,1,0,/Users/xiaozhou/Desktop/weak-signal-benchmark/construction_v2/papers/subtopics/efficient-llm-inference/raw/semantic_scholar_efficient-llm-inference_2020_llm-inference-acceleration.jsonl
